State,Male Voters,Female Voters,Voter Difference
Andaman & Nicobar Islands,101178,89150,12028
Andhra Pradesh,519364,526475,-7111
Andhra Pradesh,520598,501586,19012
Andhra Pradesh,552489,573202,-20713
Andhra Pradesh,469712,564212,-94500
Andhra Pradesh,546746,548060,-1314
Andhra Pradesh,606863,584233,22630
Andhra Pradesh,878093,742304,135789
Andhra Pradesh,545749,458020,87729
Andhra Pradesh,526510,444911,81599
Andhra Pradesh,696749,619113,77636
Andhra Pradesh,511764,503036,8728
Andhra Pradesh,570342,538626,31716
Andhra Pradesh,602193,587206,14987
Andhra Pradesh,622333,589610,32723
Andhra Pradesh,592484,582147,10337
Andhra Pradesh,562073,562297,-224
Andhra Pradesh,588728,594169,-5441
Andhra Pradesh,451350,458264,-6914
Andhra Pradesh,505010,546436,-41426
Andhra Pradesh,555005,565311,-10306
Andhra Pradesh,585270,578288,6982
Andhra Pradesh,563818,584254,-20436
Andhra Pradesh,558689,541310,17379
Andhra Pradesh,568534,552393,16141
Andhra Pradesh,577999,576382,1617
Andhra Pradesh,539357,549594,-10237
Andhra Pradesh,597603,604093,-6490
Andhra Pradesh,567908,573157,-5249
Andhra Pradesh,602198,592877,9321
Andhra Pradesh,617483,627443,-9960
Andhra Pradesh,638080,643978,-5898
Andhra Pradesh,587223,597411,-10188
Andhra Pradesh,603025,605200,-2175
Andhra Pradesh,603562,601394,2168
Andhra Pradesh,544802,520930,23872
Andhra Pradesh,612890,592164,20726
Andhra Pradesh,601932,575325,26607
Andhra Pradesh,588805,611857,-23052
Andhra Pradesh,593468,594180,-712
Andhra Pradesh,604834,608230,-3396
Andhra Pradesh,573019,585298,-12279
Andhra Pradesh,598259,600656,-2397
Arunachal Pradesh,159978,175687,-15709
Arunachal Pradesh,129313,131978,-2665
Assam,482484,404436,78048
Assam,428949,370881,58068
Assam,279409,263871,15538
Assam,709191,660433,48758
Assam,636657,587212,49445
Assam,634405,571458,62947
Assam,785494,726235,59259
Assam,651272,581965,69307
Assam,505643,475045,30598
Assam,639392,590682,48710
Assam,605292,561198,44094
Assam,483829,447507,36322
Assam,462412,428556,33856
Assam,572334,539641,32693
Bihar,484621,415493,69128
Bihar,469114,385686,83428
Bihar,442103,380568,61535
Bihar,433416,409478,23938
Bihar,449303,451285,-1982
Bihar,413878,446575,-32697
Bihar,452082,489167,-37085
Bihar,468183,502345,-34162
Bihar,492492,483319,9173
Bihar,471209,457281,13928
Bihar,495564,482266,13298
Bihar,511512,506220,5292
Bihar,508914,525885,-16971
Bihar,407047,421295,-14248
Bihar,490954,457933,33021
Bihar,482598,443339,39259
Bihar,446731,456852,-10121
Bihar,443867,440154,3713
Bihar,420364,426290,-5926
Bihar,450964,412290,38674
Bihar,478252,426501,51751
Bihar,433926,424994,8932
Bihar,430736,432463,-1727
Bihar,546041,531814,14227
Bihar,445965,450266,-4301
Bihar,522657,451359,71298
Bihar,461098,438255,22843
Bihar,506184,408166,98018
Bihar,503097,418664,84433
Bihar,511447,370815,140632
Bihar,553915,424734,129181
Bihar,516366,376847,139519
Bihar,493930,394274,99656
Bihar,474117,372671,101446
Bihar,453576,336351,117225
Bihar,443737,367779,75958
Bihar,430800,355474,75326
Bihar,444510,364868,79642
Bihar,478217,406224,71993
Bihar,415743,359896,55847
Chandigarh,244956,208499,36457
Chattisgarh,610877,576444,34433
Chattisgarh,630570,615616,14954
Chattisgarh,558677,514670,44007
Chattisgarh,546046,506674,39372
Chattisgarh,573253,517204,56049
Chattisgarh,601874,576422,25452
Chattisgarh,660504,597838,62666
Chattisgarh,659070,591775,67295
Chattisgarh,576917,554292,22625
Chattisgarh,387112,382801,4311
Chattisgarh,515793,501150,14643
Dadra & Nagar Haveli,87800,77486,10314
Daman & Diu,42378,44855,-2477
Goa,200184,206447,-6263
Goa,195582,214787,-19205
Gujarat,520905,425335,95570
Gujarat,513893,372741,141152
Gujarat,529513,426286,103227
Gujarat,544710,459548,85162
Gujarat,587807,506195,81612
Gujarat,620889,514606,106283
Gujarat,560074,425451,134623
Gujarat,534008,430601,103407
Gujarat,542339,402338,140001
Gujarat,593333,463736,129597
Gujarat,471495,337938,133557
Gujarat,486177,366466,119711
Gujarat,516158,425220,90938
Gujarat,457547,351269,106278
Gujarat,519525,397877,121648
Gujarat,541176,429718,111458
Gujarat,542955,412951,130004
Gujarat,516017,417444,98573
Gujarat,469459,430922,38537
Gujarat,625045,536532,88513
Gujarat,593192,507350,85842
Gujarat,564668,495543,69125
Gujarat,637345,568834,68511
Gujarat,539368,408554,130814
Gujarat,649206,511541,137665
Gujarat,582311,539892,42419
Haryana,667400,551595,115805
Haryana,618607,517285,101322
Haryana,692891,586214,106677
Haryana,637718,518196,119522
Haryana,666808,526692,140116
Haryana,551168,434469,116699
Haryana,578351,465980,112371
Haryana,559833,470598,89235
Haryana,727397,593222,134175
Haryana,651411,479315,172096
Himachal Pradesh,392927,406518,-13591
Himachal Pradesh,377569,348525,29044
Himachal Pradesh,395804,439401,-43597
Himachal Pradesh,403332,334425,68907
Jammu & Kashmir,256249,209743,46506
Jammu & Kashmir,178554,133658,44896
Jammu & Kashmir,211582,163697,47885
Jammu & Kashmir,58035,59994,-1959
Jammu & Kashmir,557757,484001,73756
Jammu & Kashmir,665407,588186,77221
Jharkhand,491007,460556,30451
Jharkhand,466521,436539,29982
Jharkhand,550327,499115,51212
Jharkhand,383079,329892,53187
Jharkhand,535513,489393,46120
Jharkhand,531267,438730,92537
Jharkhand,642644,501258,141386
Jharkhand,562894,486889,76005
Jharkhand,548176,500964,47212
Jharkhand,403528,391758,11770
Jharkhand,373120,363835,9285
Jharkhand,333938,317522,16416
Jharkhand,523454,453869,69585
Jharkhand,515008,452144,62864
Karnataka,564257,506846,57411
Karnataka,570120,508427,61693
Karnataka,561781,517529,44252
Karnataka,521565,445192,76373
Karnataka,523062,474576,48486
Karnataka,508764,460125,48639
Karnataka,506363,453021,53342
Karnataka,526001,480507,45494
Karnataka,542128,503644,38484
Karnataka,595257,520711,74546
Karnataka,562991,478235,84756
Karnataka,521541,479497,42044
Karnataka,581292,533576,47716
Karnataka,572407,556601,15806
Karnataka,511470,522638,-11168
Karnataka,586090,561082,25008
Karnataka,595647,611827,-16180
Karnataka,573250,523249,50001
Karnataka,565612,535872,29740
Karnataka,604906,587732,17174
Karnataka,598003,561591,36412
Karnataka,585209,547820,37389
Karnataka,758619,696625,61994
Karnataka,721638,635080,86558
Karnataka,574475,500114,74361
Karnataka,597291,516435,80856
Karnataka,653492,609782,43710
Karnataka,582601,544722,37879
Kerala,459537,514678,-55141
Kerala,439557,507560,-68003
Kerala,437556,521786,-84230
Kerala,454300,460706,-6406
Kerala,457548,485461,-27913
Kerala,415980,437487,-21507
Kerala,405116,466476,-61360
Kerala,444510,465812,-21302
Kerala,452858,474370,-21512
Kerala,434202,486303,-52101
Kerala,436712,447321,-10609
Kerala,428565,422269,6296
Kerala,425049,394717,30332
Kerala,426879,404757,22122
Kerala,477885,519579,-41694
Kerala,416969,472091,-55122
Kerala,425771,443681,-17910
Kerala,408322,470734,-62412
Kerala,396246,463104,-66858
Kerala,434623,438816,-4193
Lakshadweep,21585,21654,-69
Madhya Pradesh,538708,315571,223137
Madhya Pradesh,469603,259481,210122
Madhya Pradesh,595934,394978,200956
Madhya Pradesh,581485,395144,186341
Madhya Pradesh,536674,355255,181419
Madhya Pradesh,466689,299632,167057
Madhya Pradesh,557919,354161,203758
Madhya Pradesh,517341,357136,160205
Madhya Pradesh,499928,413516,86412
Madhya Pradesh,457663,372339,85324
Madhya Pradesh,548026,441370,106656
Madhya Pradesh,527939,440579,87360
Madhya Pradesh,558617,443567,115050
Madhya Pradesh,641915,576603,65312
Madhya Pradesh,571601,541763,29838
Madhya Pradesh,584759,522739,62020
Madhya Pradesh,593957,437218,156739
Madhya Pradesh,621326,452147,169179
Madhya Pradesh,639683,490499,149184
Madhya Pradesh,598652,412072,186580
Madhya Pradesh,654121,489847,164274
Madhya Pradesh,571525,444880,126645
Madhya Pradesh,640484,520865,119619
Madhya Pradesh,570248,512433,57815
Madhya Pradesh,586865,489951,96914
Madhya Pradesh,736759,580058,156701
Madhya Pradesh,614411,538114,76297
Madhya Pradesh,677574,579753,97821
Madhya Pradesh,574150,473569,100581
Maharashtra,584580,532096,52484
Maharashtra,543252,439831,103421
Maharashtra,594892,395440,199452
Maharashtra,554159,455054,99105
Maharashtra,535993,442633,93360
Maharashtra,544432,434059,110373
Maharashtra,556250,447811,108439
Maharashtra,554658,458787,95871
Maharashtra,576939,473377,103562
Maharashtra,579529,505529,74000
Maharashtra,615957,581239,34718
Maharashtra,537086,490043,47043
Maharashtra,602923,506820,96103
Maharashtra,585785,447164,138621
Maharashtra,576774,474390,102384
Maharashtra,549945,463405,86540
Maharashtra,637950,524283,113667
Maharashtra,596359,469900,126459
Maharashtra,554669,428264,126405
Maharashtra,546989,423193,123796
Maharashtra,524572,412833,111739
Maharashtra,532639,459979,72660
Maharashtra,503035,372570,130465
Maharashtra,470781,353415,117366
Maharashtra,591189,463000,128189
Maharashtra,527803,418759,109044
Maharashtra,503191,392326,110865
Maharashtra,485775,375986,109789
Maharashtra,472265,373027,99238
Maharashtra,424521,344539,79982
Maharashtra,437435,343280,94155
Maharashtra,485586,502180,-16594
Maharashtra,647176,527159,120017
Maharashtra,533686,459588,74098
Maharashtra,602604,463952,138652
Maharashtra,613828,475678,138150
Maharashtra,595960,466358,129602
Maharashtra,520229,412416,107813
Maharashtra,681038,551164,129874
Maharashtra,612411,505740,106671
Maharashtra,578053,479103,98950
Maharashtra,527346,423855,103491
Maharashtra,595626,483993,111633
Maharashtra,558707,487952,70755
Maharashtra,519692,456989,62703
Maharashtra,444364,451892,-7528
Maharashtra,664298,595991,68307
Maharashtra,631647,557224,74423
Manipur,306721,334150,-27429
Manipur,378706,393060,-14354
Meghalaya,292944,327043,-34099
Meghalaya,231830,226241,5589
Mizoram,216167,217034,-867
Nagaland,529325,509585,19740
NCT OF Delhi,550825,431038,119787
NCT OF Delhi,741003,576335,164668
NCT OF Delhi,676648,519688,156960
NCT OF Delhi,546295,423517,122778
NCT OF Delhi,756939,599097,157842
NCT OF Delhi,743406,604565,138841
NCT OF Delhi,638406,464004,174402
Orissa,595911,527390,68521
Orissa,515665,495046,20619
Orissa,505640,478669,26971
Orissa,550822,533047,17775
Orissa,523329,530070,-6741
Orissa,531966,517484,14482
Orissa,537966,543373,-5407
Orissa,511297,469138,42159
Orissa,551897,490204,61693
Orissa,605802,564603,41199
Orissa,568938,548598,20340
Orissa,512721,509451,3270
Orissa,417777,421638,-3861
Orissa,522770,455834,66936
Orissa,580768,560231,20537
Orissa,588605,543327,45278
Orissa,540898,498491,42407
Orissa,483992,407830,76162
Orissa,449485,446796,2689
Orissa,451051,454311,-3260
Orissa,485223,504221,-18998
Puducherry,351360,388657,-37297
Punjab,532819,509880,22939
Punjab,537641,469555,68086
Punjab,536595,503923,32672
Punjab,532246,508516,23730
Punjab,473343,487954,-14611
Punjab,554256,532307,21949
Punjab,600960,499497,101463
Punjab,551251,479703,71548
Punjab,548771,483336,65435
Punjab,590511,514901,75610
Punjab,627099,549668,77431
Punjab,583487,515980,67507
Punjab,593646,527287,66359
Rajasthan,681063,575743,105320
Rajasthan,526983,402768,124215
Rajasthan,600164,530940,69224
Rajasthan,524368,482097,42271
Rajasthan,555682,510068,45614
Rajasthan,554084,459607,94477
Rajasthan,716874,579932,136942
Rajasthan,587242,475063,112179
Rajasthan,548105,414327,133778
Rajasthan,491661,354280,137381
Rajasthan,519866,410626,109240
Rajasthan,583685,459355,124330
Rajasthan,614697,541617,73080
Rajasthan,532331,471688,60643
Rajasthan,581099,514488,66611
Rajasthan,600132,478466,121666
Rajasthan,655642,563477,92165
Rajasthan,581038,506234,74804
Rajasthan,601374,591828,9546
Rajasthan,579152,592036,-12884
Rajasthan,632047,540582,91465
Rajasthan,508738,473381,35357
Rajasthan,581524,522566,58958
Rajasthan,634766,520194,114572
Rajasthan,635659,510705,124954
Sikkim,158222,150745,7477
Tamil Nadu,645535,608905,36630
Tamil Nadu,464795,445319,19476
Tamil Nadu,552474,528689,23785
Tamil Nadu,422278,392616,29662
Tamil Nadu,666226,620421,45805
Tamil Nadu,575483,552916,22567
Tamil Nadu,543546,545506,-1960
Tamil Nadu,483973,490797,-6824
Tamil Nadu,545948,522443,23505
Tamil Nadu,567633,533712,33921
Tamil Nadu,529027,538420,-9393
Tamil Nadu,548023,548023,0
Tamil Nadu,537023,530618,6405
Tamil Nadu,542991,564250,-21259
Tamil Nadu,593783,556513,37270
Tamil Nadu,526519,532236,-5717
Tamil Nadu,511553,497029,14524
Tamil Nadu,543998,506192,37806
Tamil Nadu,473163,459913,13250
Tamil Nadu,608666,567954,40712
Tamil Nadu,514739,497928,16811
Tamil Nadu,538540,544824,-6284
Tamil Nadu,511860,534674,-22814
Tamil Nadu,492050,496200,-4150
Tamil Nadu,500157,530669,-30512
Tamil Nadu,486263,498275,-12012
Tamil Nadu,531368,557055,-25687
Tamil Nadu,503949,521589,-17640
Tamil Nadu,454047,488155,-34108
Tamil Nadu,482240,530018,-47778
Tamil Nadu,475004,552032,-77028
Tamil Nadu,486336,492010,-5674
Tamil Nadu,529187,546396,-17209
Tamil Nadu,497074,513856,-16782
Tamil Nadu,465888,535160,-69272
Tamil Nadu,449405,467373,-17968
Tamil Nadu,490748,527190,-36442
Tamil Nadu,469328,493002,-23674
Tamil Nadu,489129,501613,-12484
Tripura,546566,526183,20383
Tripura,489156,461954,27202
Uttar Pradesh,653286,541022,112264
Uttar Pradesh,618538,500786,117752
Uttar Pradesh,620606,486828,133778
Uttar Pradesh,577146,483200,93946
Uttar Pradesh,484006,458190,25816
Uttar Pradesh,627713,500252,127461
Uttar Pradesh,526970,429419,97551
Uttar Pradesh,600271,456731,143540
Uttar Pradesh,589901,505959,83942
Uttar Pradesh,632847,480537,152310
Uttar Pradesh,582774,421489,161285
Uttar Pradesh,782170,560150,222020
Uttar Pradesh,690761,508477,182284
Uttar Pradesh,549484,460226,89258
Uttar Pradesh,596785,467572,129213
Uttar Pradesh,596931,452342,144589
Uttar Pradesh,619091,457777,161314
Uttar Pradesh,622009,448391,173618
Uttar Pradesh,565971,401997,163974
Uttar Pradesh,643433,461173,182260
Uttar Pradesh,580173,419092,161081
Uttar Pradesh,520292,405989,114303
Uttar Pradesh,595491,432103,163388
Uttar Pradesh,572792,422849,149943
Uttar Pradesh,575414,442477,132937
Uttar Pradesh,586205,464342,121863
Uttar Pradesh,664459,465382,199077
Uttar Pradesh,606301,471567,134734
Uttar Pradesh,605309,454962,150347
Uttar Pradesh,582088,444884,137204
Uttar Pradesh,565543,407351,158192
Uttar Pradesh,590503,407811,182692
Uttar Pradesh,674580,527023,147557
Uttar Pradesh,638688,477900,160788
Uttar Pradesh,582227,451556,130671
Uttar Pradesh,437735,387401,50334
Uttar Pradesh,461365,413260,48105
Uttar Pradesh,499378,465603,33775
Uttar Pradesh,457693,436763,20930
Uttar Pradesh,560566,410111,150455
Uttar Pradesh,530688,408916,121772
Uttar Pradesh,629781,484679,145102
Uttar Pradesh,485765,349314,136451
Uttar Pradesh,559901,411474,148427
Uttar Pradesh,579206,529960,49246
Uttar Pradesh,734103,586701,147402
Uttar Pradesh,548768,426472,122296
Uttar Pradesh,474053,384273,89780
Uttar Pradesh,575050,481638,93412
Uttar Pradesh,491057,418981,72076
Uttar Pradesh,541728,418613,123115
Uttar Pradesh,507043,384539,122504
Uttar Pradesh,611206,456962,154244
Uttar Pradesh,558096,464620,93476
Uttar Pradesh,541200,493204,47996
Uttar Pradesh,522627,411636,110991
Uttar Pradesh,527337,416020,111317
Uttar Pradesh,559177,420461,138716
Uttar Pradesh,488241,385491,102750
Uttar Pradesh,490141,444886,45255
Uttar Pradesh,549746,498788,50958
Uttar Pradesh,520999,490650,30349
Uttar Pradesh,547576,508502,39074
Uttar Pradesh,569717,470482,99235
Uttar Pradesh,505827,444618,61209
Uttar Pradesh,508610,462947,45663
Uttar Pradesh,459744,418133,41611
Uttar Pradesh,456696,441959,14737
Uttar Pradesh,504787,455431,49356
Uttar Pradesh,547483,492173,55310
Uttar Pradesh,450367,404382,45985
Uttar Pradesh,573053,369158,203895
Uttar Pradesh,527542,479601,47941
Uttar Pradesh,513121,484781,28340
Uttar Pradesh,529153,457520,71633
Uttar Pradesh,546179,434393,111786
Uttar Pradesh,594293,436392,157901
Uttar Pradesh,527290,454262,73028
Uttar Pradesh,557621,450006,107615
Uttar Pradesh,497152,388721,108431
Uttarakhand,403088,373126,29962
Uttarakhand,323143,358881,-35738
Uttarakhand,312965,343560,-30595
Uttarakhand,590700,510735,79965
Uttarakhand,638871,536821,102050
West Bengal,688855,643554,45301
West Bengal,619981,603585,16396
West Bengal,676450,625667,50783
West Bengal,587678,554331,33347
West Bengal,564181,544012,20169
West Bengal,549173,513880,35293
West Bengal,579515,583470,-3955
West Bengal,546640,545767,873
West Bengal,559542,559542,0
West Bengal,579487,575100,4387
West Bengal,652896,634867,18029
West Bengal,639431,608483,30948
West Bengal,693242,659954,33288
West Bengal,661484,622204,39280
West Bengal,567820,483310,84510
West Bengal,591353,541291,50062
West Bengal,665637,603694,61943
West Bengal,677519,596252,81267
West Bengal,631335,554717,76618
West Bengal,659848,605683,54165
West Bengal,683496,577800,105696
West Bengal,666972,605390,61582
West Bengal,627205,540774,86431
West Bengal,535236,420542,114694
West Bengal,621783,503616,118167
West Bengal,628832,557195,71637
West Bengal,681607,608826,72781
West Bengal,697366,651504,45862
West Bengal,707525,654409,53116
West Bengal,685563,652121,33442
West Bengal,664251,626560,37691
West Bengal,691145,675564,15581
West Bengal,646539,611074,35465
West Bengal,647026,613006,34020
West Bengal,627033,577642,49391
West Bengal,645606,590713,54893
West Bengal,667837,604233,63604
West Bengal,683049,637873,45176
West Bengal,700899,630343,70556
West Bengal,633230,509165,124065
West Bengal,681996,622760,59236
West Bengal,670443,605376,65067
